,Code,Title,Session,Details
206,ECO375H1-F,Applied Econometrics I,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Thursday 12:00 — 14:00
Friday 10:00 — 12:00
RW 110
RW 110
Souza Rodrigues, E.
17 of 156 available Yes: 0 student Time Change: July 8, 2019
Enrolment Controls: Priority (P)"
207,ECO375H1-S,Applied Econometrics I,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 11:00 — 13:00
Friday 12:00 — 13:00
KP 108
KP 108
Wan, Y.
7 of 130 available Yes: 0 student
Enrolment Controls: Priority (P)"
208,ECO380H1-S,"Markets, Competition, and Strategy",LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 10:00 — 13:00
MP 202
Luo, Y.
0 of 200 available Yes: 58 students
Enrolment Controls: Priority (P)"
209,ECO380H1-S,"Markets, Competition, and Strategy",LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Tuesday 14:00 — 17:00
LM 159
Luo, Y.
0 of 200 available Yes: 59 students
Enrolment Controls: Priority (P)"
210,ECO399Y1-Y,Research Opportunity Program,LEC0101,"Activity Time
Room
1st Term
2nd Term
Instructor(s) Space Availability Wait List Status / Notes
LEC0101
—
—
—
Halberstam, Y.
9999 of 9999 available No
Enrolment Controls: Enrol at Department (E)"
211,ECO401H1-S,Topics in Economic Policy,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 10:00 — 12:00
Friday 13:00 — 14:00
LM 157
LM 157
Kroft, K.
0 of 35 available Yes: 45 students
Enrolment Controls: Priority (P)"
212,ECO403H1-F,Topics in Development Economics and Policy,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 10:00 — 12:00
Thursday 10:00 — 11:00
FE 135
FE 135
Blouin, A.
5 of 35 available Yes: 0 student
Enrolment Controls: Priority (P)"
213,ECO403H1-F,Topics in Development Economics and Policy,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Wednesday 14:00 — 16:00
Friday 11:00 — 12:00
MY 315
SK 720
Bobonis, G.
11 of 35 available Yes: 0 student
Enrolment Controls: Priority (P)"
214,ECO404H1-S,Topics in Managerial Economics,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 21:00
SS 2111
Hussain, S.
0 of 35 available Yes: 0 student
Enrolment Controls: Priority (P)"
215,ECO407H1-F,Competing Views in Macroeconomic Theory and Policy,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Thursday 10:00 — 13:00
OI 5170
Indart, G.
9 of 50 available Yes: 0 student
Enrolment Controls: Priority (P)"
216,ECO414H1-S,Energy and Regulation,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 14:00 — 17:00
SS 2127
Yatchew, A.
0 of 55 available Yes: 17 students Room Change: August 16, 2019
Enrolment Controls: Priority (P)"
217,ECO418H1-F,Empirical Applications of Economic Theory,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 16:00 — 19:00
UC 244
Luo, Y.
18 of 30 available Yes: 0 student
Enrolment Controls: Priority (P)"
218,ECO419H1-F,International Macroeconomics,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 14:00 — 17:00
FE 33
Steinberg, J.
4 of 30 available Yes: 0 student
Enrolment Controls: Priority (P)"
219,ECO421H1-F,Special Topics in Economics,LEC0101,"Subtitle
Topics in Experimental Economics
Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 09:00 — 12:00
SS 2111
Halevy, Y.
1 of 30 available Yes: 0 student
Enrolment Controls: Priority (P)"
220,ECO421H1-S,Special Topics in Economics,LEC0101,"Subtitle
Economics of Information
Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 14:00 — 17:00
WI 523
Peski, M.
8 of 35 available Yes: 0 student Room Changed: October 30, 2019.
Enrolment Controls: Priority (P)"
221,ECO422H1-F,Special Topics in Economics,LEC5101,"Subtitle
Competition Policy
Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Wednesday 17:00 — 20:00
UC 261
Soboleva, N.
17 of 35 available Yes: 0 student Added: July 10, 2019
Enrolment Controls: Priority (P)"
222,ECO422H1-S,Special Topics in Economics,LEC0101,"Subtitle
Topics in Behavioural Economics
Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 12:00 — 14:00
Thursday 18:00 — 20:00
BL 313
BL 313
Halevy, Y.
0 of 20 available Yes: 28 students Room Change: July 19, 2019
Enrolment Controls: Priority (P)"
223,ECO426H1-S,Market Design,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 10:00 — 13:00
MY 317
Roesler, A.
0 of 35 available Yes: 3 students
Enrolment Controls: Priority (P)"
224,ECO428H1-F,Classical Economic Thought,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 09:00 — 12:00
OI 2214
Furlong, K.
21 of 65 available Yes: 0 student
Enrolment Controls: Priority (P)"
225,ECO429H1-S,Economic Thought after 1870,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 09:00 — 12:00
LA 211
Furlong, K.
29 of 65 available Yes: 0 student
Enrolment Controls: Priority (P)"
226,ECO430Y1-Y,Reading Course or Thesis,LEC0101,"Activity Time
Room
1st Term
2nd Term
Instructor(s) Space Availability Wait List Status / Notes
LEC0101
—
—
—
—
9999 of 9999 available No
Enrolment Controls: Enrol at Department (E)"
227,ECO431H1-F,Reading Course or Thesis,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
—
—
—
9998 of 9999 available No
Enrolment Controls: Enrol at Department (E)"
