,Code,Title,Session,Details
148,CSC343H1-F,Introduction to Databases,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Tuesday 15:00 — 18:00
MY 150
Horton, D.
25 of 85 available Yes: 0 student
Enrolment Controls: Restricted (R1)"
149,CSC343H1-S,Introduction to Databases,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 12:00 — 13:00
Wednesday 12:00 — 13:00
Friday 12:00 — 13:00
BA 1130
BA 1130
BA 1130
Heap, D.
0 of 80 available Yes: 48 students
Enrolment Controls: Priority (P)"
150,CSC343H1-S,Introduction to Databases,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 09:00 — 10:00
Wednesday 09:00 — 10:00
Friday 09:00 — 10:00
LM 161
LM 161
LM 161
—
0 of 40 available Yes: 33 students
Enrolment Controls: Priority (P)"
151,CSC343H1-S,Introduction to Databases,LEC0301,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0301
Monday 13:00 — 14:00
Wednesday 13:00 — 14:00
Friday 13:00 — 14:00
BA 1130
BA 1130
BA 1130
—
0 of 120 available Yes: 49 students
Enrolment Controls: Priority (P)"
152,CSC343H1-S,Introduction to Databases,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Monday 12:00 — 13:00
Wednesday 12:00 — 13:00
Friday 12:00 — 13:00
BA 1130
BA 1130
BA 1130
—
0 of 40 available Yes: 17 students
Enrolment Controls: Restricted (R1)"
153,CSC343H1-S,Introduction to Databases,LEC2201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2201
Monday 09:00 — 10:00
Wednesday 09:00 — 10:00
Friday 09:00 — 10:00
LM 161
LM 161
LM 161
—
0 of 80 available Yes: 17 students
Enrolment Controls: Restricted (R1)"
154,CSC343H1-S,Introduction to Databases,LEC2501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2501
Tuesday 18:00 — 21:00
BA 1130
—
0 of 80 available Yes: 25 students
Enrolment Controls: Restricted (R1)"
155,CSC343H1-S,Introduction to Databases,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Tuesday 18:00 — 21:00
BA 1130
—
0 of 40 available Yes: 33 students
Enrolment Controls: Priority (P)"
156,CSC358H1-F,Principles of Computer Networks,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 11:00 — 12:00
Wednesday 15:00 — 17:00
BA 1170
SS 1071
Marbach, P.
102 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
157,CSC367H1-S,Parallel Programming,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 14:00 — 15:00
Wednesday 14:00 — 15:00
Friday 14:00 — 15:00
Dept Lab
MS 2172
MS 2172
Dehnavi, M.
0 of 125 available Yes: 45 students Room Changed: October 2, 2019
Enrolment Controls: Priority (P)"
158,CSC369H1-F,Operating Systems,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 14:00 — 15:00
Wednesday 14:00 — 15:00
Friday 14:00 — 15:00
BA 1170
BA 1170
BA 1170
Reid, K.
10 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
159,CSC369H1-F,Operating Systems,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Wednesday 18:00 — 20:00
Wednesday 20:00 — 21:00
BA 1170
BA 1170
Reid, K.
29 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
160,CSC369H1-S,Operating Systems,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 16:00 — 17:00
Thursday 14:00 — 15:00
Friday 14:00 — 15:00
SF 1101
MC 252
—
Reid, K.
0 of 125 available Yes: 24 students Day Added: July 23, 2019
Enrolment Controls: Priority (P)"
161,CSC369H1-S,Operating Systems,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Tuesday 15:00 — 16:00
Thursday 15:00 — 16:00
Friday 15:00 — 16:00
SF 1101
MP 203
—
Reid, K.
0 of 125 available Yes: 26 students
Enrolment Controls: Priority (P)"
162,CSC373H1-F,"Algorithm Design, Analysis & Complexity",LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 17:00 — 18:00
Tuesday 13:00 — 15:00
Thursday 14:00 — 15:00
—
BA 1170
BA 1170
Singh, K.
13 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
